,"r",0,"js","diff"
"52",0,14682620,0,0
"53",0,14682620,0,0
"54",0,14682620,0,0
"55",0,14682620,0,0
"56",0,14682620,0,0
"57",0,14682620,0,0
"58",0,14682620,0,0
"59",0,14682620,0,0
"60",0,14682620,0,0
"61",0,14682620,0,0
"62",0,14682620,0,0
"63",0,14682620,0,0
"64",0,14682620,0,0
"65",0,14682620,0,0
"66",0,14682620,0,0
"67",13.0282847359776,14682630,9.99999999813736,3.02828473784024
"68",33.3584600910544,14682670,40.0000000018626,-6.64153991080825
"69",43.0627226065844,14682710,40.0000000018626,3.06272260472176
"70",65.5613357834518,14682780,69.9999999981374,-4.43866421468556
"71",89.651832960546,14682870,89.9999999981374,-0.348167037591352
"72",115.498642927036,14682980,110,5.498642927036
"73",142.43160084635,14683120,140.000000001863,2.43160084448735
"74",169.063293905929,14683290,170,-0.936706094071013
"75",188.606710689142,14683480,190,-1.39328931085799
"76",204.68570227176,14683690,210,-5.31429772824001
"77",219.132625386119,14683910,220,-0.867374613880997
"78",231.775344893336,14684140,230.000000001863,1.77534489147337
"79",239.434252167121,14684380,239.999999998137,-0.565747831016353
"80",242.464929008856,14684620,240,2.46492900885599
"81",244.364643437788,14684860,240,4.364643437788
"82",245.323035256937,14685110,249.999999998137,-4.67696474120035
"83",246.532878046855,14685360,250,-3.46712195314501
"84",250.062514467165,14685610,250.000000001863,0.062514465302343
"85",253.173369014636,14685860,250,3.17336901463599
"86",255.902006195858,14686110,250.000000001863,5.90200619399536
"87",254.181749414653,14686370,259.999999998137,-5.81825058348434
"88",208.437337735668,14686580,210,-1.562662264332
"89",161.62150756456,14686740,160,1.62150756456001
"90",126.144891319796,14686870,130,-3.855108680204
"91",98.189497301355,14686960,90,8.189497301355
"92",77.6063818782568,14687040,80,-2.3936181217432
"93",62.0355039928108,14687100,60,2.0355039928108
"94",47.9258313626051,14687150,50,-2.0741686373949
"95",34.8450982216746,14687190,40.0000000018626,-5.15490178018805
"96",24.7238445393741,14687210,19.9999999981374,4.72384454123674
"97",22.2598088216037,14687230,20,2.2598088216037
"98",4.17485454119742,14687240,10,-5.82514545880258
"99",0,14687240,0,0
"100",0,14687240,0,0
"101",0,14687240,0,0
"102",0,14687240,0,0
"103",0,14687240,0,0
"104",0,14687240,0,0
"105",0,14687240,0,0
"106",0,14687240,0,0
"107",0,14687240,0,0
"108",0,14687240,0,0
"109",0,14687240,0,0
"110",0,14687240,0,0
"111",0,14687240,0,0
"112",0,14687240,0,0
"113",0,14687240,0,0
"114",0,14687240,0,0
"115",0,14687240,0,0
"116",0,14687240,0,0
"117",0,14687240,0,0
"118",0,14687240,0,0
"119",0,14687240,0,0
"120",12.0814404599369,14687250,10,2.0814404599369
"121",16.0836264714599,14687270,19.9999999981374,-3.91637352667745
"122",27.7631329912692,14687290,20.0000000018626,7.76313298940655
"123",43.0196844097227,14687340,50,-6.9803155902773
"124",60.1347147654742,14687400,60,0.1347147654742
"125",78.3603895008564,14687470,70,8.3603895008564
"126",95.7261220421642,14687570,100,-4.27387795783579
"127",98.5928245000541,14687670,100,-1.40717549994589
"128",96.6594918277115,14687770,100,-3.34050817228849
"129",94.7275443505496,14687860,90,4.72754435054961
"130",92.8206816166639,14687950,90,2.8206816166639
"131",90.872825294733,14688040,90,0.872825294733005
"132",88.9217830374837,14688130,90,-1.07821696251629
"133",87.0873120389879,14688220,89.9999999981374,-2.91268795914945
"134",85.3884423989803,14688310,90.0000000018627,-4.61155760288234
"135",83.6738248206675,14688390,80,3.67382482066751
"136",81.6499731969088,14688470,80,1.6499731969088
"137",79.8471683971584,14688550,80,-0.152831602841601
"138",78.3158957697451,14688630,80,-1.6841042302549
"139",76.3635403588414,14688710,80,-3.63645964115859
"140",67.4481113236398,14688770,60,7.44811132363979
"141",57.8574623744935,14688830,60,-2.1425376255065
"142",49.790297806263,14688880,50,-0.209702193737002
"143",42.7859263177961,14688920,39.9999999981374,2.78592631965874
"144",36.8172150906175,14688960,40.0000000018626,-3.18278491124514
"145",31.6322480775416,14688990,30,1.6322480775416
"146",26.7996486071497,14689020,30,-3.2003513928503
"147",22.2276269644499,14689040,20,2.2276269644499
"148",16.6345313247293,14689060,20,-3.3654686752707
