,"R","JS","tafavot"
"294",2984.95,2986.989,-2.03900000000021
"295",2945.472,2947.702,-2.23000000000002
"296",2888.503,2890.688,-2.18499999999995
"297",2806.958,2809.079,-2.12100000000009
"298",2701.147,2703.191,-2.04399999999987
"299",2570.514,2572.473,-1.95899999999983
"300",2432.507,2434.375,-1.86799999999994
"301",2304.793,2306.578,-1.78499999999985
"302",2185.596,2187.303,-1.70699999999988
"303",2072.342,2073.974,-1.63200000000006
"304",1956.894,1958.59,-1.69600000000014
"305",1810.935,1812.54,-1.60499999999979
"306",1637.348,1638.823,-1.47499999999991
"307",1454.243,1455.572,-1.32900000000018
"308",1274.239,1275.569,-1.32999999999993
"309",1093.257,1094.395,-1.13799999999992
"310",909.735,910.6821,-0.947099999999978
"311",757.021,757.8094,-0.788400000000024
"312",629.941,630.5974,-0.656399999999962
"313",524.195,524.7404,-0.545399999999972
"314",436.199,436.6535,-0.454499999999996
"315",362.976,363.3538,-0.377799999999979
"316",302.044,302.3585,-0.31450000000001
"317",251.341,251.6024,-0.261399999999981
"318",209.149,209.3666,-0.217599999999976
"319",174.04,174.2208,-0.180800000000005
"320",144.824,144.9747,-0.150699999999972
"321",120.513,120.6381,-0.125099999999989
"322",100.283,100.3868,-0.103799999999993
"323",83.448,83.53535,-0.087350000000015
"324",105.786,105.8925,-0.106499999999983
"325",125.283,125.4074,-0.124399999999994
"326",143.147,143.2869,-0.139900000000011
"327",160.265,160.4206,-0.155600000000021
"328",177.272,177.4428,-0.170799999999986
"329",194.35,194.5359,-0.185899999999975
"330",216.781,216.843,-0.061999999999983
"331",265.343,265.494,-0.150999999999954
"332",382.771,383.0665,-0.295499999999947
"333",635.751,636.2819,-0.530899999999974
"334",1043.307,1044.677,-1.37000000000012
"335",1509.129,1510.804,-1.67499999999995
"336",1956.911,1958.766,-1.85500000000002
"337",2350.008,2351.959,-1.95100000000002
"338",2670.82,2672.817,-1.99699999999984
"339",2908.534,2910.539,-2.00499999999965
"340",3065.727,3067.729,-2.00199999999995
"341",3157.015,3159.005,-1.99000000000024
"342",3197.065,3199.039,-1.97399999999971
"343",3199.179,3201.137,-1.95800000000008
"344",3174.806,3176.741,-1.93499999999995
"345",3133.6,3135.516,-1.91600000000017
"346",3083.496,3085.392,-1.89600000000019
"347",3030.004,3031.985,-1.98100000000022
"348",2967.219,2969.165,-1.94599999999991
"349",2894.153,2896.049,-1.89600000000019
"350",2813.638,2815.484,-1.846
"351",2727.09,2728.888,-1.79799999999977
"352",2623.371,2625.118,-1.74699999999984
"353",2488.785,2490.464,-1.67900000000009
"354",2321.217,2322.806,-1.58899999999994
"355",2096.759,2098.205,-1.44599999999991
"356",1844.178,1845.232,-1.05399999999986
"357",1609.649,1610.602,-0.953000000000202
"358",1398.478,1399.331,-0.853000000000066
"359",1211.806,1212.565,-0.759000000000015
"360",1049.805,1050.477,-0.672000000000025
"361",889.268,889.8435,-0.57549999999992
"362",739.989,740.4678,-0.478799999999978
"363",615.769,616.1675,-0.398500000000013
"364",512.401,512.7331,-0.332100000000082
"365",426.386,426.6618,-0.275800000000004
"366",354.81,355.0391,-0.22909999999996
"367",295.248,295.4396,-0.191599999999994
"368",245.686,245.8449,-0.158899999999989
"369",204.443,204.5756,-0.132599999999968
"370",170.124,170.234,-0.110000000000014
"371",141.566,141.6573,-0.091300000000018
"372",117.802,117.8778,-0.075799999999987
"373",133.994,134.1194,-0.125400000000013
"374",146.759,146.8986,-0.139600000000002
"375",155.561,155.7101,-0.149099999999976
"376",161.305,161.4614,-0.156399999999991
"377",146.708,146.8507,-0.142699999999991
"378",152.703,152.8521,-0.149100000000004
"379",171.303,171.4704,-0.167400000000015
"380",207.761,207.9658,-0.204799999999977
"381",268.805,269.0678,-0.262800000000027
