,"x",,
"217",0,5.75691E-25,-5.75691E-25
"218",0,5.702215E-25,-5.702215E-25
"219",0,5.64804E-25,-5.64804E-25
"220",0,5.59438E-25,-5.59438E-25
"221",0,5.541229E-25,-5.541229E-25
"222",0,5.488583E-25,-5.488583E-25
"223",0,-4.499909E-25,4.499909E-25
"224",0,3.616426E-10,-3.616426E-10
"225",0,9.825295E-05,-9.825295E-05
"226",0,0.000203145,-0.000203145
"227",0,0.000291838,-0.000291838
"228",0,0.0003749452,-0.0003749452
"229",0,0.0004499793,-0.0004499793
"230",0.001,0.0005051677,0.0004948323
"231",0.001,0.0005322027,0.0004677973
"232",0.001,0.0005530105,0.0004469895
"233",0.001,0.000567717,0.000432283
"234",0.001,0.0005766247,0.0004233753
"235",0.001,0.0006169935,0.0003830065
"236",0.001,0.0006428263,0.0003571737
"237",0.001,0.0006549473,0.0003450527
"238",0.001,0.0006552238,0.0003447762
"239",0.001,0.0005936744,0.0004063256
"240",0.001,0.0005191645,0.0004808355
"241",0,0.0004594881,-0.0004594881
"242",0,0.0004112007,-0.0004112007
"243",0,0.0003663237,-0.0003663237
"244",0,0.0003182105,-0.0003182105
"245",0,0.0002755118,-0.0002755118
"246",0,0.0002354114,-0.0002354114
"247",0,0.0001957126,-0.0001957126
"248",0,0.0001720092,-0.0001720092
"249",0,0.0001468584,-0.0001468584
"250",0,0.0001195017,-0.0001195017
"251",0,8.938109E-05,-8.938109E-05
"252",0,2.185025E-05,-2.185025E-05
"253",0,5.58533E-13,-5.58533E-13
"254",0,1.787481E-15,-1.787481E-15
"255",0,1.770499E-15,-1.770499E-15
"256",0,1.753678E-15,-1.753678E-15
"257",0,1.737017E-15,-1.737017E-15
"258",0,1.720514E-15,-1.720514E-15
"259",0,1.704168E-15,-1.704168E-15
"260",0,1.687977E-15,-1.687977E-15
"261",0,1.67194E-15,-1.67194E-15
"262",0,1.656055E-15,-1.656055E-15
"263",0,1.640321E-15,-1.640321E-15
"264",0,1.624737E-15,-1.624737E-15
"265",0,1.609301E-15,-1.609301E-15
"266",0,1.594011E-15,-1.594011E-15
"267",0,1.578867E-15,-1.578867E-15
"268",0,1.563867E-15,-1.563867E-15
"269",0,1.549009E-15,-1.549009E-15
"270",0,1.534292E-15,-1.534292E-15
"271",0,1.519715E-15,-1.519715E-15
"272",0,1.505277E-15,-1.505277E-15
"273",0,1.490976E-15,-1.490976E-15
"274",0,1.47681E-15,-1.47681E-15
"275",0,1.462779E-15,-1.462779E-15
"276",0,-1.344684E-16,1.344684E-16
"277",0,1.437856E-05,-1.437856E-05
"278",0,9.77231E-05,-9.77231E-05
"279",0,0.0001681248,-0.0001681248
"280",0,0.0002333593,-0.0002333593
"281",0,0.0002906249,-0.0002906249
"282",0,0.0003290741,-0.0003290741
"283",0,0.0003422334,-0.0003422334
"284",0,0.0003504061,-0.0003504061
"285",0,0.0003539308,-0.0003539308
"286",0,0.0003533141,-0.0003533141
"287",0,0.0003236097,-0.0003236097
"288",0,0.000297839,-0.000297839
"289",0,0.0002756742,-0.0002756742
"290",0,0.0002566512,-0.0002566512
"291",0,0.0002439585,-0.0002439585
"292",0,0.000234678,-0.000234678
"293",0,0.0002267258,-0.0002267258
"294",0,0.0002200838,-0.0002200838
"295",0,0.0002039776,-0.0002039776
"296",0,0.0001695308,-0.0001695308
"297",0,0.0001382713,-0.0001382713
"298",0,0.0001079388,-0.0001079388
"299",0,7.669966E-05,-7.669966E-05
"300",0,7.036917E-05,-7.036917E-05
"301",0,6.346306E-05,-6.346306E-05
"302",0,5.571758E-05,-5.571758E-05
"303",0,4.708638E-05,-4.708638E-05
"304",0,2.743046E-05,-2.743046E-05
"305",0,1.598189E-07,-1.598189E-07
"306",0,-3.865342E-11,3.865342E-11
"307",0,5.80093E-16,-5.80093E-16
"308",0,5.745816E-16,-5.745816E-16
"309",0,5.691227E-16,-5.691227E-16
"310",0,5.637156E-16,-5.637156E-16
"311",0,5.583599E-16,-5.583599E-16
"312",0,5.530551E-16,-5.530551E-16
"313",0,5.478006E-16,-5.478006E-16
"314",0,5.425961E-16,-5.425961E-16
"315",0,5.374411E-16,-5.374411E-16
"316",0,5.32335E-16,-5.32335E-16
"317",0,5.272774E-16,-5.272774E-16
"318",0,5.222679E-16,-5.222679E-16
"319",0,5.17306E-16,-5.17306E-16
"320",0,5.123912E-16,-5.123912E-16
"321",0,5.075231E-16,-5.075231E-16
"322",0,5.027012E-16,-5.027012E-16
"323",0,4.979252E-16,-4.979252E-16
"324",0,4.931946E-16,-4.931946E-16
"325",0,4.885089E-16,-4.885089E-16
"326",0,4.838677E-16,-4.838677E-16
"327",0,4.792706E-16,-4.792706E-16
"328",0,4.747171E-16,-4.747171E-16
"329",0,4.70207E-16,-4.70207E-16
"330",0,4.517666E-17,-4.517666E-17
"331",0,5.259486E-05,-5.259486E-05
"332",0,0.0001151497,-0.0001151497
"333",0,0.0001714682,-0.0001714682
"334",0,0.0002069068,-0.0002069068
"335",0,0.0002131058,-0.0002131058
"336",0,0.000216379,-0.000216379
"337",0,0.0002169608,-0.0002169608
"338",0,0.0002151595,-0.0002151595
"339",0,0.0002010334,-0.0002010334
"340",0,0.0001881713,-0.0001881713
"341",0,0.0001765968,-0.0001765968
"342",0,0.0001662477,-0.0001662477
"343",0,0.0001569935,-0.0001569935
"344",0,0.0001488631,-0.0001488631
"345",0,0.0001418451,-0.0001418451
"346",0,0.0001359121,-0.0001359121
"347",0,0.0001266637,-0.0001266637
"348",0,0.0001108764,-0.0001108764
"349",0,9.751662E-05,-9.751662E-05
"350",0,8.570912E-05,-8.570912E-05
"351",0,7.46341E-05,-7.46341E-05
"352",0,5.562439E-05,-5.562439E-05
"353",0,3.53925E-05,-3.53925E-05
"354",0,1.277047E-05,-1.277047E-05
"355",0,1.924168E-11,-1.924168E-11
"356",0,-8.458479E-19,8.458479E-19
"357",0,-8.378117E-19,8.378117E-19
