"p","omega","delta","mu_e","mu_ql","mu_el","mu_qn","mu_en","mu_qa","mu_ea","mu_h","beta_nh","beta_hl","beta_hn","lambda_l","lambda_n","lambda_a","alpha","f_l","f_n","f_a","kappa","c","Tf","obsprob","T_min_l","gamma","E0","QL0","EL_s0","EL_i0","QN_s0","QN_i0","EN_s0","EN_i0","QA_s0","QA_i0","EA0","H_s0","H_i0","LogLikJS","LogLikR","difference"
2000,4.22408886816371,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.007202857796496,0.000307630104556,26.1107201437234,1660,0.711317678272323,0.995913083712818,0.975682026534186,1.95441227053607E-05,0.4,4,0.999999999999,17.1427087575039,0.333333333333333,35699.1015382248,2799.41311974626,0.47085411311477,492.855996220119,10.3069515288969,47.8562837348886,2.68054662740753,3.56636047641016,4850.34600954473,103286.937550789,123916.66667603,8.79061532299825E-05,0.996356840550392,-8589.19757,-8589.17555894419,-0.022011055811163
2000,4.40176902736079,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004669821750941,0.000420923466373,31.1854611070369,1660,0.814820604648949,0.987302649183742,0.907387177419424,2.15268898095295E-05,0.4,4,0.777598898076757,17.1429394860367,0.333333333333333,40714.1894199279,121.542234329133,0.642650544414016,438.328989227199,19.9778876684359,197.802672617692,12.6068993475476,7.92557643539151,1047.41842642095,6317.55521334941,7302.31839119797,0.000177556059109,0.9992102686407,-8591.195754,-8591.12988637776,-0.065867622241058
2000,4.66988179538229,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004725948027929,0.00042911134296,16.0322021513551,1660,0.856171338501962,0.806272315663748,0.88381183400217,3.62367876337553E-05,0.4,4,1.04928097267512,16.9983779445914,0.333333333333333,111715.990606634,30.7773550517676,11.492189539551,361.80770777923,3.50771091142182,153.182235100787,7.86302033205012,6.44227093528854,329.442705592707,165631.501842382,22020.5195417903,6.71061318094582E-05,0.998752932744593,-8578.772343,-8578.76039265343,-0.011950346570302
2000,4.20333842742067,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.00435588710157,0.00042386970954,20.8309254911607,1660,0.832662219209274,0.903919032972802,0.912495684726473,3.16129026692882E-05,0.4,4,1.19099326233934,17.1315398720101,0.333333333333333,6368.10636240417,832.164607181494,1.31321812130004,360.712012056202,0.831652460211102,207.690249059899,11.2715561159382,7.74673151384916,991.586395985186,78007.5184310872,66896.4044701128,0.000270296940042,0.99875886010592,-8579.788937,-8579.77445863754,-0.014478362460068
2000,4.49259405920308,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004512420168556,0.000422620753204,28.55527196205,1660,0.847842200807021,0.980300890449045,0.847208736415063,2.50391152868156E-05,0.4,4,0.956013036370335,17.0965559771561,0.333333333333333,17547.7510970348,2.99311396584467,0.768950219972302,283.670189662264,6.72246777000463,209.822623844137,16.5526950221246,5.73291154642119,1284.27974908552,24.1835831613426,80.8438277623436,5.68173462933886E-05,0.999368581126565,-8585.827562,-8585.72375837287,-0.103803627131128
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",-21073.2587710815,"#VALUE!"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",-21073.2587710815,"#VALUE!"
2000,4.50175482232325,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.005609914995945,0.000353907992414,17.3680370712794,1660,0.813032543917336,0.946639997679716,0.83459667144102,3.12250292640163E-05,0.4,4,1.0736331019164,23.1735883518075,0.333333333333333,67271.2194728534,65.3047831438513,1.67809803044916,303.065818991025,225.655212800122,150.146801071267,2.81904769937465,16.7265580284195,983.656963599164,79493.6925837781,22800.4039359177,3.86835334853256E-05,0.99865167692922,"NA","NA","#VALUE!"
2000,5.43684552460169,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.006580533733973,0.000346541837808,13.6101260349866,1660,0.846490478508006,0.969536025577999,0.813014597782886,4.06579267057571E-05,0.4,4,0.976218631168262,17.1629172640636,0.333333333333333,33555.2873314227,34.0875086356257,2.85359824486413,339.419109898848,4.29274178821435,115.27105261543,0.433737937804314,0.213145825376937,674.746387868704,388.620412778864,10302.4284074696,7.68674241893779E-05,0.998987188199552,-8586.503644,-8586.49059543675,-0.013048563250777
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",-21073.2587710815,"#VALUE!"
