,"x",72.57231,
"177",563805135.373688,564028200,-223064.626312017
"178",816901102.248788,817414600,-513497.751212001
"179",1123387014.83915,1124172000,-784985.160850048
"180",1460876508.30887,1461952000,-1075491.69112992
"181",1808032097.22044,1809401000,-1368902.77955985
"182",2146481443.54242,2148154000,-1672556.45758009
"183",2464551545.33962,2466480000,-1928454.66037989
"184",2757685361.08868,2759898000,-2212638.91131973
"185",3028760690.17174,3031360000,-2599309.82825994
"186",3289771972.17704,3292792000,-3020027.8229599
"187",3556411189.52899,3559870000,-3458810.47101021
"188",3836387011.39342,3840253000,-3865988.6065793
"189",4156259992.48775,4160246000,-3986007.51224995
"190",4549664399.02039,4553777000,-4112600.97961044
"191",5045209104.55525,5050054000,-4844895.44474983
"192",5626525498.95848,5631799000,-5273501.04152012
"193",6270092785.89298,6275999000,-5906214.10702038
"194",6960809170.20187,6967213000,-6403829.79813004
"195",7677784340.43737,7684682000,-6897659.5626297
"196",8286767519.82856,8294194000,-7426480.17143917
"197",8607636127.34647,8614940000,-7303872.65353012
"198",8576934167.89167,8584487000,-7552832.10832882
"199",8138044403.26513,8144895000,-6850596.73486996
"200",7362205309.11283,7366108000,-3902690.88716984
"201",6612725574.27944,6616536000,-3810425.72056007
"202",5920054864.81499,5923710000,-3655135.18500996
"203",5286205615.04409,5289663000,-3457384.95590973
"204",4704735601.47787,4708649000,-3913398.52213001
"205",4130351677.93265,4133827000,-3475322.06734991
"206",3570288494.24908,3573203000,-2914505.75091982
"207",2970954333.22674,2973356000,-2401666.77326012
"208",2472229987.83623,2474294000,-2064012.1637702
"209",2057220787.2988,2058942000,-1721212.70120001
"210",1711879961.20361,1713327000,-1447038.79639006
"211",1424510122.61536,1425810000,-1299877.38463998
"212",1185383403.75615,1186494000,-1110596.24384999
"213",986395818.383514,987347300,-951481.616486073
"214",820811953.150526,821641900,-829946.849473953
"215",683023329.684235,683713800,-690470.315765023
"216",568365016.075774,568915000,-549983.924226046
"217",581677238.128464,582133300,-456061.871536017
"218",631679173.224693,632295600,-616426.775307059
"219",666559378.394733,667218900,-659521.605267048
"220",689181490.095879,689870900,-689409.904121041
"221",701913223.175417,702621600,-708376.824583054
"222",718758952.921207,719579300,-820347.078793049
"223",775214936.211892,776045900,-830963.788107991
"224",887822652.358515,888760300,-937647.641484976
"225",1063340139.03484,1064448000,-1107860.96516013
"226",1456671387.75279,1458839000,-2167612.24721003
"227",2310151513.22078,2313579000,-3427486.7792201
"228",3839327031.17484,3844422000,-5094968.82516003
"229",6170601817.7217,6177828000,-7226182.27830029
"230",9285255611.03436,9296550000,-11294388.9656391
"231",12886976350.0127,12901270000,-14293649.9873009
"232",16695311830.2534,16712680000,-17368169.7465992
"233",20508998695.7758,20529540000,-20541304.2242012
"234",24180469815.1048,24203250000,-22780184.8951988
"235",27784215217.3319,27809320000,-25104782.6680984
"236",31367841612.5615,31395460000,-27618387.4384995
"237",34812726179.018,34843680000,-30953820.9820023
"238",38059689051.4054,38095160000,-35470948.5945969
"239",41063654311.1542,41105100000,-41445688.8458023
"240",43684367521.795,43729000000,-44632478.2049942
"241",46095146527.639,46140190000,-45043472.3610001
"242",48561471019.5359,48607320000,-45848980.4640961
"243",51275236966.3358,51324710000,-49473033.6641998
"244",54135483714.1546,54186490000,-51006285.845398
"245",56989689471.788,57042740000,-53050528.211998
"246",59672191476.014,59725890000,-53698523.9860001
"247",61955461195.4095,62008760000,-53298804.5904999
"248",63853812591.2316,63908790000,-54977408.7684021
"249",65453818955.9455,65509470000,-55651044.0544968
"250",66565420753.7241,66622750000,-57329246.2759018
"251",66972655748.357,67030930000,-58274251.6429977
"252",65951986692.7168,66022250000,-70263307.2832031
"253",61486010642.8654,61554110000,-68099357.1345978
"254",54888412517.1528,54950660000,-62247482.8471909
"255",47800639932.6326,47859900000,-59260067.3674011
"256",39776485149.1208,39825690000,-49204850.8792038
"257",33099332320.4205,33139570000,-40237679.5794983
"258",27543040596.4478,27575410000,-32369403.5521965
"259",22919439845.9148,22948540000,-29100154.0852013
"260",19072006611.2778,19096610000,-24603388.7221985
"261",15870428778.5882,15890680000,-20251221.4118004
"262",13206293605.0293,13223370000,-17076394.9707012
"263",10989380197.6156,11003660000,-14279802.3843994
"264",9144621740.80812,9156689000,-12067259.1918793
"265",7609539538.81692,7619716000,-10176461.1830797
"266",6332149789.66649,6340748000,-8598210.3335104
"267",5269188608.75713,5276433000,-7244391.24287033
"268",4384659818.21735,4390742000,-6082181.78264999
"269",3648617061.0713,3653733000,-5115938.92869997
"270",3036131937.56053,3040272000,-4140062.43946981
"271",2526468907.74603,2529932000,-3463092.25397015
"272",2102356172.57958,2105378000,-3021827.42041993
"273",1749437950.72606,1752000000,-2562049.27394009
"274",1455762102.70249,1457936000,-2173897.29750991
"275",2399666528.78699,2403434000,-3767471.21300983
"276",4810188395.10636,4817697000,-7508604.89363956
"277",8485759502.63095,8498554000,-12794497.36905
"278",13710725915.2919,13740310000,-29584084.7080994
"279",21533536583.7596,21575940000,-42403416.2403984
"280",33575090621.6914,33630160000,-55069378.3086014
"281",49976317655.7332,50042490000,-66172344.2667999
"282",68825439901.6844,68904530000,-79090098.3155975
"283",86987182479.1412,87058800000,-71617520.8587952
"284",102696797498.059,102768100000,-71302501.9409943
"285",115307852199.133,115377800000,-69947800.8670044
"286",124767652903.49,124829900000,-62247096.5099945
"287",131802061709.576,131853800000,-51738290.423996
"288",137292529797.533,137337800000,-45270202.4669952
"289",141634371592.554,141671900000,-37528407.4460144
"290",145147497999.191,145178900000,-31402000.8089905
"291",148001403683.856,148029700000,-28296316.1440124
"292",150139955179.278,150164000000,-24044820.7219849
"293",151610367113.57,151625800000,-15432886.4299927
"294",152380477759.107,152383100000,-2622240.89300537
"295",152593216603.165,152553300000,39916603.1650085
"296",154775154553.007,154737200000,37954553.0069885
"297",159271229360.678,159238500000,32729360.678009
"298",165321592875.815,165295300000,26292875.8150024
"299",171820737009.828,171803000000,17737009.8280029
"300",177539514478.394,177535100000,4414478.39401245
"301",182385114512.019,182391700000,-6585487.98098755
"302",186468803388.594,186483700000,-14896611.4060059
"303",189770924819.259,189793300000,-22375180.7409973
"304",191778611712.727,191816900000,-38288287.2730103
"305",189533325428.666,189581400000,-48074571.3340149
"306",181716152770.539,181773300000,-57147229.4609985
"307",169484625926.975,169546800000,-62174073.0249939
"308",154522105091.118,154611500000,-89394908.8819885
