,"c","r",,"js","E0"
5369.7,2006.194,59663844262.7413,-59663842256.5473,"NaN","NaN"
5376.7,2062.843,65376025894.1268,-65376023831.2838,"NaN","NaN"
5383.8,2150.913,71432984998.6999,-71432982847.7869,"NaN","NaN"
5390.8,2341.156,79713801018.7435,-79713798677.5875,"NaN","NaN"
5397.8,2693.065,92060133585.6584,-92060130892.5934,"NaN","NaN"
5404.8,3211.687,108110703713.258,-108110700501.571,"NaN","NaN"
5411.8,3912.119,126762855821.33,-126762851909.211,"NaN","NaN"
5418.8,4807.754,145533698877.525,-145533694069.771,"NaN","NaN"
5425.9,5789.738,157449606824.329,-157449601034.591,"NaN","NaN"
5432.9,6563.447,158090217678.655,-158090211115.208,"NaN","NaN"
5439.9,6913.51,150610689638.103,-150610682724.593,"NaN","NaN"
5446.9,6073.835,129367659202.845,-129367653129.01,"NaN","NaN"
5453.9,5054.234,107651110686.844,-107651105632.61,"NaN","NaN"
5461,4205.792,89580034767.3219,-89580030561.5299,"NaN","NaN"
5468,3499.774,74542393868.0379,-74542390368.2639,"NaN","NaN"
5475,2912.274,62029135700.545,-62029132788.271,"NaN","NaN"
5482,2423.397,51616437009.6663,-51616434586.2693,"NaN","NaN"
5489,2016.584,42951693837.4832,-42951691820.8992,"NaN","NaN"
5496.1,1678.062,35741492951.1896,-35741491273.1276,"NaN","NaN"
5503.1,1396.368,29741674369.0986,-29741672972.7306,"NaN","NaN"
5510.1,1161.961,24749032722.8585,-24749031560.8975,"NaN","NaN"
5517.1,966.9261,20594460066.7955,-20594459099.8694,"NaN","NaN"
5524.1,804.6381,17137315682.4509,-17137314877.8128,"NaN","NaN"
5531.2,669.587,14260509641.3369,-14260508971.7499,"NaN","NaN"
5538.2,557.2036,11866643317.6397,-11866642760.4361,"NaN","NaN"
5545.2,463.6835,9874636545.51868,-9874636081.83518,"NaN","NaN"
5552.2,385.8596,8217008461.04521,-8217008075.18561,"NaN","NaN"
5559.2,321.0979,6837644930.80835,-6837644609.71045,"NaN","NaN"
5566.2,267.1977,5689828267.32889,-5689828000.13119,"NaN","NaN"
5573.3,1227.629,17311991795.5965,-17311990567.9675,"NaN","NaN"
5580.3,2541.473,34877050475.6032,-34877047934.1302,"NaN","NaN"
5587.3,3896.748,56556755021.9523,-56556751125.2043,"NaN","NaN"
5594.3,4996.938,80834200398.478,-80834195401.54,"NaN","NaN"
5601.3,5683.077,105166112580.808,-105166106897.731,"NaN","NaN"
5608.4,6150.577,125137327409.972,-125137321259.395,"NaN","NaN"
5615.4,6441.2,137210619137.166,-137210612695.966,"NaN","NaN"
5622.4,6568.707,139788192832.165,-139788186263.458,"NaN","NaN"
5629.4,6537.509,133838800806.411,-133838794268.902,"NaN","NaN"
5636.4,6325.916,121276044123.884,-121276037797.968,"NaN","NaN"
5643.5,5958.922,105230986133.068,-105230980174.146,"NaN","NaN"
5650.5,5478.59,88518930989.6368,-88518925511.0468,"NaN","NaN"
5657.5,4930.298,72912335873.6284,-72912330943.3304,"NaN","NaN"
5664.5,4365.243,59417667878.8836,-59417663513.6406,"NaN","NaN"
5671.5,3820.052,48342167737.0213,-48342163916.9693,"NaN","NaN"
5678.6,3310.865,39523916892.9977,-39523913582.1327,"NaN","NaN"
5685.6,2848.695,32676255472.9231,-32676252624.2281,"NaN","NaN"
5692.6,2468.863,27956065135.1504,-27956062666.2874,"NaN","NaN"
5699.6,2233.776,26540787660.0919,-26540785426.3159,"NaN","NaN"
5706.6,2100.36,28329774130.8542,-28329772030.4942,"NaN","NaN"
5713.7,2051.502,33084437717.4119,-33084435665.9099,"NaN","NaN"
5720.7,2074.727,40369683522.5244,-40369681447.7974,"NaN","NaN"
5727.7,2087.425,47580453478.1074,-47580451390.6824,"NaN","NaN"
5734.7,2093.753,53781889947.1793,-53781887853.4263,"NaN","NaN"
5741.7,2108.22,58981051406.8916,-58981049298.6716,"NaN","NaN"
5748.8,2133.237,63289981127.5991,-63289978994.3621,"NaN","NaN"
5755.8,2240.709,68915161264.7126,-68915159024.0036,"NaN","NaN"
5762.8,2481.034,78023356237.9414,-78023353756.9074,"NaN","NaN"
5769.8,2846.493,90618157461.269,-90618154614.776,"NaN","NaN"
5776.8,3350.652,106415041234.787,-106415037884.135,"NaN","NaN"
5783.8,4020.984,124719253215.161,-124719249194.177,"NaN","NaN"
5790.9,4880.065,143753579196.421,-143753574316.356,"NaN","NaN"
5797.9,5812.363,158063515038.29,-158063509225.927,"NaN","NaN"
5804.9,6650.201,163241161345.933,-163241154695.732,"NaN","NaN"
5811.9,7205.636,159718521726.345,-159718514520.709,"NaN","NaN"
5818.9,7458.632,151799729648.751,-151799722190.119,"NaN","NaN"
5826,7509.869,142347360958.403,-142347353448.534,"NaN","NaN"
5833,6668.274,123525373549.204,-123525366880.93,"NaN","NaN"
5840,5548.9,102789612896.192,-102789607347.292,"NaN","NaN"
5847,4617.413,85534493183.6713,-85534488566.2583,"NaN","NaN"
5854,3842.298,71176017553.9524,-71176013711.6544,"NaN","NaN"
5861.1,3197.298,59227845265.5884,-59227842068.2904,"NaN","NaN"
5868.1,2660.571,49285393914.4819,-49285391253.9109,"NaN","NaN"
5875.1,2213.944,41011984144.8452,-41011981930.9012,"NaN","NaN"
5882.1,1842.391,34127431032.8813,-34127429190.4903,"NaN","NaN"
5889.1,2726.416,42706635839.1091,-42706633112.6931,"NaN","NaN"
5896.2,3451.092,49639395441.2137,-49639391990.1217,"NaN","NaN"
5903.2,4052.767,55373145145.8885,-55373141093.1215,"NaN","NaN"
5910.2,4591.045,60740381597.9958,-60740377006.9508,"NaN","NaN"
5917.2,5106.116,66280347555.6572,-66280342449.5412,"NaN","NaN"
5924.2,5610.333,72167457781.2029,-72167452170.8699,"NaN","NaN"
5931.2,6124.51,78358160855.533,-78358154731.023,"NaN","NaN"
5938.3,6753.626,86122647501.1257,-86122640747.4997,"NaN","NaN"
5945.3,7416.928,96391400176.47,-96391392759.542,"NaN","NaN"
5952.3,7953.621,110999510837.063,-110999502883.442,"NaN","NaN"
5959.3,8254.326,128860093040.945,-128860084786.619,"NaN","NaN"
5966.3,8335.729,142116561202.513,-142116552866.784,"NaN","NaN"
5973.4,8240.54,143977795019.184,-143977786778.644,"NaN","NaN"
5980.4,7966.021,134526994715.73,-134526986749.709,"NaN","NaN"
5987.4,7511.853,118142916251.444,-118142908739.591,"NaN","NaN"
5994.4,6900.051,99388572181.3284,-99388565281.2774,"NaN","NaN"
6001.4,6180.065,81277828971.1016,-81277822791.0366,"NaN","NaN"
6008.5,5412.232,65278343759.3185,-65278338347.0865,"NaN","NaN"
6015.5,4652.108,51889452932.9684,-51889448280.8604,"NaN","NaN"
6022.5,3941.019,41102675476.5852,-41102671535.5662,"NaN","NaN"
6029.5,3332.322,33036209983.7528,-33036206651.4308,"NaN","NaN"
6036.5,2832.532,27510237308.3646,-27510234475.8326,"NaN","NaN"
6043.6,2415.538,23937083581.814,-23937081166.276,"NaN","NaN"
6050.6,2065.528,21808698741.7194,-21808696676.1914,"NaN","NaN"
6057.6,1777.883,20858856521.6757,-20858854743.7927,"NaN","NaN"
6064.6,1557.111,21230665640.6571,-21230664083.5461,"NaN","NaN"
6071.6,1383.029,22651781211.0757,-22651779828.0467,"NaN","NaN"
6078.7,1244.506,24816683498.4949,-24816682253.9889,"NaN","NaN"
6085.7,1139.325,27621589728.6883,-27621588589.3633,"NaN","NaN"
6092.7,1112.283,32829880147.0608,-32829879034.7778,"NaN","NaN"
6099.7,1169.396,41463296290.4781,-41463295121.0821,"NaN","NaN"
6106.7,1323.309,53950971832.6618,-53950970509.3528,"NaN","NaN"
6113.8,1608.648,70552541525.1599,-70552539916.5119,"NaN","NaN"
6120.8,2014.589,89771937170.6734,-89771935156.0844,"NaN","NaN"
6127.8,2535.494,109859565118.629,-109859562583.135,"NaN","NaN"
6134.8,3214.729,129956680664.97,-129956677450.241,"NaN","NaN"
6141.8,4066.191,148253451807.211,-148253447741.02,"NaN","NaN"
6148.8,5028.98,160674661517.286,-160674656488.306,"NaN","NaN"
6155.9,5989.955,164091528155.8,-164091522165.845,"NaN","NaN"
6162.9,6742.534,159311114085.307,-159311107342.773,"NaN","NaN"
6169.9,7152.15,149563420114.088,-149563412961.938,"NaN","NaN"
6176.9,6774.789,133037094412.141,-133037087637.352,"NaN","NaN"
6183.9,5637.533,110704545346.851,-110704539709.318,"NaN","NaN"
6191,4691.17,92120818695.3537,-92120814004.1837,"NaN","NaN"
6198,3903.674,76656727683.8965,-76656723780.2225,"NaN","NaN"
6205,3248.372,63788552193.196,-63788548944.824,"NaN","NaN"
6212,2703.073,53080562240.2361,-53080559537.1631,"NaN","NaN"
6219,2249.312,44170119366.7885,-44170117117.4765,"NaN","NaN"
6226.1,1871.728,36755390420.0765,-36755388548.3485,"NaN","NaN"
6233.1,1557.555,30585332835.9792,-30585331278.4242,"NaN","NaN"
6240.1,1296.122,25451043177.3048,-25451041881.1828,"NaN","NaN"
6247.1,1078.565,21178641503.1301,-21178640424.5651,"NaN","NaN"
6254.1,897.5416,17623459140.2948,-17623458242.7532,"NaN","NaN"
6261.2,746.8986,14665058094.5774,-14665057347.6788,"NaN","NaN"
6268.2,621.5335,12203275316.143,-12203274694.6095,"NaN","NaN"
6275.2,1737.334,22553086058.0202,-22553084320.6862,"NaN","NaN"
6282.2,2789.802,32431790510.1327,-32431787720.3307,"NaN","NaN"
6289.2,3704.646,41239260557.2968,-41239256852.6508,"NaN","NaN"
6296.2,4528.974,49553956212.8723,-49553951683.8983,"NaN","NaN"
6303.3,5345.574,58860028758.458,-58860023412.884,"NaN","NaN"
6310.3,6207.132,70238363004.8977,-70238356797.7657,"NaN","NaN"
6317.3,6986.496,82975904050.6872,-82975897064.1912,"NaN","NaN"
6324.3,7586.544,98479014389.8095,-98479006803.2655,"NaN","NaN"
6331.3,7927.793,117307747748.481,-117307739820.688,"NaN","NaN"
6338.4,8028.622,134469856290.199,-134469848261.577,"NaN","NaN"
6345.4,7919.135,141868417283.903,-141868409364.768,"NaN","NaN"
6352.4,7615.798,136432823261.097,-136432815645.299,"NaN","NaN"
6359.4,7134.787,121692137613.857,-121692130479.07,"NaN","NaN"
6366.4,6540.206,103719654241,-103719647700.794,"NaN","NaN"
6373.5,5866.815,86062106778.5805,-86062100911.7655,"NaN","NaN"
6380.5,5157.312,70298777012.4658,-70298771855.1538,"NaN","NaN"
6387.5,4459.791,57012224144.6349,-57012219684.8439,"NaN","NaN"
6394.5,3847.296,46779102219.7145,-46779098372.4185,"NaN","NaN"
6401.5,3342.028,39624968747.7386,-39624965405.7106,"NaN","NaN"
6408.6,2922.042,34914999880.9764,-34914996958.9344,"NaN","NaN"
6415.6,2573.359,32077889701.9897,-32077887128.6307,"NaN","NaN"
6422.6,2290.965,30755216198.9085,-30755213907.9435,"NaN","NaN"
6429.6,2075.101,30917763417.2912,-30917761342.1902,"NaN","NaN"
6436.6,1905.123,32167298671.924,-32167296766.801,"NaN","NaN"
6443.7,1767.34,34117243809.488,-34117242042.148,"NaN","NaN"
6450.7,1658.598,36608414823.0129,-36608413164.4149,"NaN","NaN"
6457.7,1628.879,41234694153.2408,-41234692524.3618,"NaN","NaN"
6464.7,1673.999,48543444103.9582,-48543442429.9592,"NaN","NaN"
6471.7,1790.899,58474728951.7318,-58474727160.8328,"NaN","NaN"
6478.8,1990.706,70955771006.1934,-70955769015.4874,"NaN","NaN"
6485.8,2267.398,85276876460.6592,-85276874193.2612,"NaN","NaN"
6492.8,2622.805,100727614157.258,-100727611534.453,"NaN","NaN"
6499.8,3082.326,117124337342.218,-117124334259.892,"NaN","NaN"
6506.8,3665.003,134043750790.864,-134043747125.861,"NaN","NaN"
6513.8,4392.587,150719404703.155,-150719400310.568,"NaN","NaN"
6520.9,5264.729,164985977774.682,-164985972509.953,"NaN","NaN"
6527.9,6157.744,172517272820.7,-172517266662.956,"NaN","NaN"
6534.9,6936.131,171792571538.754,-171792564602.623,"NaN","NaN"
6541.9,7450.457,164388489904.315,-164388482453.858,"NaN","NaN"
6548.9,7663.76,153497102319.236,-153497094655.476,"NaN","NaN"
6556,7677.065,141740189535.807,-141740181858.742,"NaN","NaN"
6563,6587.984,120070080129.649,-120070073541.665,"NaN","NaN"
6570,5482.088,99914240516.7244,-99914235034.6364,"NaN","NaN"
