,"c","r",,"js","E0"
821.25,0.08621747,1383770.41400124,-1383770.32778377,"NaN","NaN"
828.27,0.8611011,2330930.37076965,-2330929.50966855,"NaN","NaN"
835.29,0.7803959,3476097.55350868,-3476096.77311278,"NaN","NaN"
842.31,0.6497679,5040107.97540933,-5040107.32564143,"NaN","NaN"
849.33,0.5406931,7072695.30769451,-7072694.76700141,"NaN","NaN"
856.35,0.4468704,10537665.3172377,-10537664.8703673,"NaN","NaN"
863.37,0.3621526,17996967.4727324,-17996967.1105798,"NaN","NaN"
870.38,0.2877948,32375549.1001376,-32375548.8123428,"NaN","NaN"
877.4,0.2243432,55362028.4873025,-55362028.2629593,"NaN","NaN"
884.42,0.1717678,86024956.5673019,-86024956.3955341,"NaN","NaN"
891.44,0.1306826,117828940.377845,-117828940.247162,"NaN","NaN"
898.46,0.09915715,146971882.154585,-146971882.055428,"NaN","NaN"
905.48,0.0750315,172506473.665422,-172506473.590391,"NaN","NaN"
912.5,0.05662298,194564774.42523,-194564774.368607,"NaN","NaN"
919.52,0.04261914,213835933.845002,-213835933.802383,"NaN","NaN"
926.54,0.03199823,231333017.299332,-231333017.267334,"NaN","NaN"
933.56,0.02396346,248280515.315342,-248280515.291379,"NaN","NaN"
940.58,0.01790124,266020526.989799,-266020526.971898,"NaN","NaN"
947.6,0.01334139,285914660.223374,-285914660.210033,"NaN","NaN"
954.62,0.009926212,309235251.72974,-309235251.719814,"NaN","NaN"
961.63,0.007374085,337479783.239416,-337479783.232042,"NaN","NaN"
968.65,0.005472866,372210191.734254,-372210191.728781,"NaN","NaN"
975.67,0.004088374,414485701.564894,-414485701.560806,"NaN","NaN"
982.69,0.003622797,459037139.91928,-459037139.915657,"NaN","NaN"
989.71,0.008782563,502438798.952578,-502438798.943795,"NaN","NaN"
996.73,0.0545019,543473864.73034,-543473864.675838,"NaN","NaN"
1003.8,0.348935,580714353.077032,-580714352.728097,"NaN","NaN"
1010.8,1.8066,612951899.430953,-612951897.624353,"NaN","NaN"
1017.8,7.813349,638731163.134385,-638731155.321036,"NaN","NaN"
1024.8,29.13518,655650829.694167,-655650800.558987,"NaN","NaN"
1031.8,93.74869,661351001.826709,-661350908.078019,"NaN","NaN"
1038.8,322.2975,648263553.866397,-648263231.568897,"NaN","NaN"
1045.9,1184.271,595131328.080683,-595130143.809683,"NaN","NaN"
1052.9,2668.925,522367168.683219,-522364499.758219,"NaN","NaN"
