"emscripten(JS)","c","Diff in y(1)"
2322.38743019977,2322.387,0.000430199765105
2051.18510500705,2051.185,0.000105007045931
1785.03681223553,1785.037,-0.000187764465409
1512.35931246605,1512.359,0.000312466045898
1258.4736860031,1258.474,-0.000313996901014
1047.22864938031,1047.229,-0.00035061969038
871.428240182228,871.4282,4.01822284175069E-05
725.089475805273,725.0895,-2.41947269614684E-05
603.321545123378,603.3215,4.51233779585891E-05
502.108772860394,502.1088,-2.71396055495643E-05
417.830591397404,417.8306,-8.60259615365067E-06
347.70026543745,347.7003,-3.45625500699498E-05
289.326724967131,289.3267,2.49671309688892E-05
240.79567760713,240.7957,-2.23928704201626E-05
262.524280416128,262.5243,-1.95838716763319E-05
286.983881614403,286.9839,-1.83855966042756E-05
320.23780877009,320.2378,8.77008994848438E-06
364.648018179109,364.648,1.81791091335981E-05
411.331312268302,411.3313,1.2268302270968E-05
451.312981959806,451.313,-1.80401943339348E-05
484.005773896619,484.0058,-2.61033806623345E-05
515.400160584747,515.4002,-3.94152532408043E-05
574.470451545268,574.4705,-4.84547324504092E-05
751.524708918235,751.5247,8.91823503934575E-06
1126.804197993,1126.804,0.000197993000938
1690.64162686134,1690.642,-0.000373138656641
2332.54765308651,2332.548,-0.000346913490375
2904.83858220205,2904.839,-0.00041779795265
3366.30111752496,3366.301,0.00011752495675
3721.10501787421,3721.105,1.7874213426694E-05
3981.83516942006,3981.835,0.000169420064594
4164.85453838878,4164.855,-0.000461611221908
4283.70041370832,4283.7,0.000413708318774
4346.39012648798,4346.39,0.000126487982016
4362.57318591265,4362.573,0.000185912649613
4342.69383200437,4342.694,-0.000167995624906
4299.61016167514,4299.61,0.000161675136042
4239.76073971447,4239.761,-0.000260285531112
4169.9039749344,4169.904,-2.50655966738123E-05
4097.75728484559,4097.757,0.000284845585156
4035.87049896083,4035.87,0.000498960830555
3968.1329578725,3968.133,-4.21274980908493E-05
3881.47984774083,3881.48,-0.000152259172864
3765.26067619507,3765.261,-0.000323804928485
3644.12299346062,3644.123,-6.53938195682713E-06
3551.45968919579,3551.46,-0.000310804208311
3487.22667797264,3487.227,-0.000322027362472
