"p","omega","delta","mu_e","mu_ql","mu_el","mu_qn","mu_en","mu_qa","mu_ea","mu_h","beta_nh","beta_hl","beta_hn","lambda_l","lambda_n","lambda_a","alpha","f_l","f_n","f_a","kappa","c","Tf","obsprob","T_min_l","gamma","E0","QL0","EL_s0","EL_i0","QN_s0","QN_i0","EN_s0","EN_i0","QA_s0","QA_i0","EA0","H_s0","H_i0","LogLikjs_subplex","LogLikR","loglikPureJS"
2000,42.3002674217832,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.003026928150995,0.012770253886613,0.232960479884129,96.387080078125,0.355838013958,0.525053341976197,0.339037284365576,0.170237462014102,0.4,4,0.600518394508707,9.36715306456195,0.174130859375,231.896319900408,5.50595027283213,52.8373416662457,355.363743116239,75.7783318080268,9.51345919871017,14.4719468575608,1779.6551652219,45.1629576836115,118.958652044987,34.1531474726403,0.64698895302897,0.219077718409952,-8757.244343,-8759.21278268078,-8759.07534610571
2000,112.80215475331,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.005322298323861,6.54320466965063,0.007021356429342,46.392080078125,0.767785485206408,0.217621333861504,0.169238040928177,0.012994921135723,0.4,4,0.523631051659424,5.0891217522976,0.419130859375,170.318972628908,16.1571783038369,5.18016474953936,11.0592438410366,53.3995785543916,34.8549239765223,72.9068493647996,65.5602419509033,49.5444623237729,38.2422582393781,71.941264863082,0.181157168320668,0.184410445487778,-8749.181169,-8763.95565156763,-8764.21297109816
2000,109.867191385921,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004706421180875,0.019006116449577,0.115911678287716,83.888330078125,0.931136605104241,0.104950582625348,0.645590355029469,0.068388790730825,0.4,4,0.423125606537511,6.94613082241756,0.480380859375,44.9974335676996,939.452257674191,80.1791113535776,16.6292598067479,8.14914606965094,27.9095090406726,19.4299863782325,43.2922314595478,4.6423840677684,83.6403708727541,73.4146531971419,0.054940216488187,0.158100458965929,-8839.713731,-8856.21382447397,-8856.33505734908
2000,69.4720863642697,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004034782527605,0.014634685145866,0.005834195228472,33.893330078125,0.433831051758366,0.664858201993506,0.220548961097523,0.004694241693195,0.4,4,0.230444621954815,4.0980903317825,0.235380859375,193.180046105752,10.3122495673473,40.0562192295642,44.0125122254132,278.294472283946,57.6828173538935,71.3746680972493,16.6334452008763,20.346055369801,52.4547161724064,21.8518625861876,0.311090668690073,0.419782736938264,-8680.987998,-8681.86417265014,-8682.81007334569
2000,137.821489838982,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.000356867729976,0.014636341183942,0.063271725958322,58.890830078125,0.473064453717085,0.507876141052402,0.49814453125,0.06146435546875,0.4,4,1.12217833058915,7.150390625,0.112880859375,41.89453125,143.081436087835,22.75390625,33.69140625,80.37109375,0.48828125,0.000228207804111,14433435.1031576,23.39745305289,5.08946928286845,19.1681037177358,0.443047110220692,0.047290316051061,-18744.506793,-18876.7575290381,-18825.0981880391
2000,8.9953577896345,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.00032608158741,0.020490130420494,0.104351654588994,8.895830078125,0.733087003807259,0.58079858944291,0.999866512960502,5.19085935648186,0.4,4,0.251159436628684,7.94658617527463,0.357880859375,25.8059652318135,3.93095422354276,1.74383306538085,1530.87682241473,2.34741911466381,1085.29571025929,1.60102318915186,18.3561365496992,792557.971527791,47.4697911489383,106.988818602703,1.2495474131631E-07,0.532785394145101,-8826.771672,-8844.06740696798,-8843.86212966115
2000,81.4163792154617,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004710484730039,0.007211510620021,0.003877026489245,18.269892578125,0.805714767195645,0.330772786762772,0.909188240157384,0.002318459723893,0.4,4,0.347853877156976,7.95980035840355,0.311943359375,116.213824116563,4.61116131238333,157.104954535267,16.8142820362253,75.2260411461138,703.588206131593,31.2621535524992,75.8302125320248,63.5758017077262,75.614054483582,119.667321016866,0.340162794166312,0.206217339457586,-8634.822303,-8635.09641822718,-8635.82038597044
2000,52.2740623161653,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.001329698098625,0.015056835554273,0.122721407075212,68.264892578125,0.362603518975784,0.96892061452501,0.455267049479229,1.02448655239684,0.4,4,0.225845304358559,6.83159861935434,0.066943359375,0.78976125087856,1774.95898403346,38.3172695870829,107.035197934239,58.1524504536517,4.25366539892729,189.836841569191,4.98572283064359,75.98039148624,51.4050035646699,6.5576510475813,0.171310210373356,0.491292374773333,-8809.457673,-8809.77086799793,-8809.75822451783
2000,6.45698422917504,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,833.338901080797,0.010606667893209,1.27695476882082,43.267392578125,0.071081898854668,0.308734984579845,0.341264105726622,0.00342652440909,0.4,4,0.414146799945191,2.30032137130299,0.189443359375,292.108282509675,4.59485019740949,0.019707150770261,0.006157411978076,99378.3494335263,3.83130727810978E-13,4994.22724004637,35.3002301297185,74.4240653868486,13.4104282559909,12.0745831059235,0.220260228375518,0.051383490587932,-8729.896168,-8746.98135468926,-8731.28107844897
2000,69.1771563223844,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.005849318650996,0.085812365760885,0.02631102984868,93.262392578125,0.580231946925542,0.573785800822893,0.733643965530897,0.003157267171431,0.4,4,0.270350494778574,14.6851437172367,0.434443359375,9.02470931608773,9.19920044849789,25.8073140929121,41.1827470818026,1768.3666574809,62.4811429458109,83.8544493123187,77.2599424677519,25.201757115437,61.5246650651031,78.1428704554144,0.49211544235452,0.262926373857796,-8933.669382,-8934.03112159569,-8933.97824957019
