,"E","QL","EL_s","EL_i","QN_s","QN_i","EN_s","EN_i","QA_s","QA_i","EA","H_s","H_i","cases"
"344",41189551949.462,17776499651.7074,198252296.334796,45714666823.0887,534366191.375052,88827483847.6196,1.06122171549809E-07,3750828885.33577,1.64834228751726E-09,57368837.7660062,741970432.6044,4.60376567179835E-11,0.008152173913421,2879492872312.8
"345",39389262236.6855,16930326987.0753,172651801.463087,43998790726.5631,542440294.224871,91950195939.9111,9.34141761444715E-08,3746732742.32754,1.46644774676208E-09,57885072.2777201,737673241.50579,4.44741759439019E-11,0.008152173913331,2945713035328.04
"346",37890345550.8514,16195687919.1086,150125455.48717,42251905642.1079,547491240.159595,94829653083.1532,8.21214293566927E-08,3753265479.0343,1.30277842078998E-09,58569892.3061492,736082523.02716,4.31237409486344E-11,0.008152173913253,3017028509644.72
"347",36713659942.1559,15533074930.9848,130467332.759848,40547669804.2265,549778383.392456,97426064052.1142,7.21611338547816E-08,3771010336.98395,1.12939666838908E-09,58025351.1567537,737580738.236652,4.19744885549303E-11,0.008152173913173,3070895934060.93
"348",37683577234.2279,14725889487.931,114585688.020375,39286468895.1158,548452350.590019,99339694430.3106,6.39822648863313E-08,3830226831.3204,9.04118046284458E-10,53202213.1016761,740255080.856584,4.1165912916688E-11,0.008152173913036,2845607993358.94
"349",41375381535.98,13924200573.722,102030565.702458,38480638353.3513,544027458.347262,100550662331.189,5.74258187360516E-08,3934903801.87107,7.22040846429346E-10,48643025.8765972,743244231.744718,4.06701369314478E-11,0.008152173912912,2535132266132.99
"350",47777412342.9225,13253391778.1503,92063832.506362,38061330679.8105,537290504.566291,101163230390.409,5.2179851044888E-08,4080076921.83288,5.74206426614211E-10,44163675.8430304,748906980.916322,4.04238697530508E-11,0.008152173912811,2252519351956.48
"351",56943256044.4242,12716611208.6807,84138374.4236158,37997164852.8767,528823904.367242,101257760965.709,4.80068531741392E-08,4263202861.7579,4.52399725811028E-10,39542648.8493477,756912756.186702,4.03861311102098E-11,0.008152173912724,1989535467710.04
"352",70820462759.5689,12011526364.9782,78135707.1577601,38382323620.1821,518773406.488797,100758102513.434,4.49051284086721E-08,4500715277.4714,3.12137673731303E-10,30808598.0047754,765082659.539755,4.05864055416415E-11,0.008152173912617,1664009594448.77
"353",91021798774.7089,10717828451.1549,73930817.4308292,39195964399.9324,507290206.830778,99596835727.7554,4.28875154757019E-08,4812455767.2245,1.85447932712334E-10,20508166.3312106,760983265.622947,4.10596298659627E-11,0.008152173912501,1268550815257.02
"354",114895576319.153,8405316535.42191,71180086.2530326,40189427569.7163,494737804.536029,97829511850.984,4.18367896977369E-08,5206337561.47999,6.97676347188766E-11,8554950.20887628,731213833.316504,4.18013861422411E-11,0.008152173912381,900159609756.828
"355",134053960813.004,6180297442.39289,69644227.6757428,41175112647.1245,481369379.491069,95494575555.5875,4.1585384706005E-08,5680460325.56496,2.41940947306895E-13,30848.9030419968,662358767.958485,4.28234712416746E-11,0.008152173912254,571703555955.812
"356",142513130605.594,4544274336.89522,348199927.738562,41828853907.8857,468173863.389648,92893459546.5213,4.14466733949191E-08,6041293766.75989,4.85515787439856E-16,61.9061370917575,607758503.706705,0.004426658069807,0.004730719478401,357128570956.266
"357",144537617818.75,3744431113.15494,945280982.573155,41412963272.7692,457132986.440115,90702766437.6751,4.13084247679385E-08,6021142557.98897,4.8090303126685E-16,61.3179833727554,566532485.355735,0.023389379683065,0.000447079872793,0
"358",142096236121.392,3569904806.152,935853322.826419,40999935470.4146,446352483.987492,88563735947.5419,4.11706372784259E-08,6001058564.91194,4.76334099504825E-16,60.7354175255886,533993953.359262,0.041990918927901,4.23246828094548E-05,0
"359",136843647378.509,3403513100.65059,926519688.848865,40591026957.2425,435826216.646237,86475149920.2033,4.10333093898909E-08,5981041563.56894,4.71808575949383E-16,60.1583864817322,507373393.1661,0.06023815390958,3.98149704188858E-06,0
