"","time","reports"
"122",3046.34615384614,7
"123",3053.36538461535,5
"124",3060.38461538465,9
"125",3067.40384615386,7
"126",3074.42307692307,3
"127",3081.44230769228,9
"128",3088.46153846158,9
"129",3095.48076923079,17
"130",3102.5,7
"131",3109.51923076921,9
"132",3116.53846153842,5
"133",3123.55769230772,9
"134",3130.57692307693,5
"135",3137.59615384614,5
"136",3144.61538461535,1
"137",3151.63461538465,1
"138",3158.65384615386,3
"139",3165.67307692307,1
"140",3172.69230769228,1
"141",3179.71153846158,5
"142",3186.73076923079,1
"143",3193.75,7
"144",3200.76923076921,3
"145",3207.78846153842,3
"146",3214.80769230772,1
"147",3221.82692307693,1
"148",3228.84615384614,1
"149",3235.86538461535,1
"150",3242.88461538465,1
"151",3249.90384615386,1
"152",3256.92307692307,1
"153",3263.94230769228,1
"154",3270.96153846158,1
"155",3277.98076923079,1
"156",3285,1
"157",3292.01923076921,1
"158",3299.03846153842,1
"159",3306.05769230772,1
"160",3313.07692307693,1
"161",3320.09615384614,1
"162",3327.11538461535,1
"163",3334.13461538465,1
"164",3341.15384615386,1
"165",3348.17307692307,3
"166",3355.19230769228,1
"167",3362.21153846158,1
"168",3369.23076923079,1
"169",3376.25,1
"170",3383.26923076921,3
"171",3390.28846153842,1
"172",3397.30769230772,1
"173",3404.32692307693,1
"174",3411.34615384614,3
"175",3418.36538461535,9
"176",3425.38461538465,11
"177",3432.40384615386,3
"178",3439.42307692307,3
"179",3446.44230769228,5
"180",3453.46153846158,11
"181",3460.48076923079,9
"182",3467.5,3
"183",3474.51923076921,1
"184",3481.53846153842,5
"185",3488.55769230772,5
"186",3495.57692307693,3
"187",3502.59615384614,1
"188",3509.61538461535,1
"189",3516.63461538465,5
"190",3523.65384615386,3
"191",3530.67307692307,5
"192",3537.69230769228,1
"193",3544.71153846158,3
"194",3551.73076923079,1
"195",3558.75,1
"196",3565.76923076921,1
"197",3572.78846153842,3
"198",3579.80769230772,3
"199",3586.82692307693,1
"200",3593.84615384614,1
"201",3600.86538461535,7
"202",3607.88461538465,1
"203",3614.90384615386,1
"204",3621.92307692307,1
"205",3628.94230769228,3
"206",3635.96153846158,1
"207",3642.98076923079,1
"208",3650,1
"209",3657.01923076921,3
"210",3664.03846153842,1
"211",3671.05769230772,1
"212",3678.07692307693,1
"213",3685.09615384614,1
"214",3692.11538461535,1
"215",3699.13461538465,1
"216",3706.15384615386,1
"217",3713.17307692307,1
"218",3720.19230769228,1
"219",3727.21153846158,1
"220",3734.23076923079,3
"221",3741.25,3
"222",3748.26923076921,1
"223",3755.28846153842,1
"224",3762.30769230772,3
"225",3769.32692307693,3
"226",3776.34615384614,9
"227",3783.36538461535,3
"228",3790.38461538465,3
"229",3797.40384615386,7
"230",3804.42307692307,9
"231",3811.44230769228,11
"232",3818.46153846158,9
"233",3825.48076923079,5
"234",3832.5,11
"235",3839.51923076921,5
"236",3846.53846153842,11
"237",3853.55769230772,5
"238",3860.57692307693,3
"239",3867.59615384614,9
"240",3874.61538461535,1
"241",3881.63461538465,1
"242",3888.65384615386,3
"243",3895.67307692307,1
"244",3902.69230769228,1
"245",3909.71153846158,1
"246",3916.73076923079,3
"247",3923.75,1
"248",3930.76923076921,1
"249",3937.78846153842,7
"250",3944.80769230772,5
"251",3951.82692307693,1
"252",3958.84615384614,1
"253",3965.86538461535,1
"254",3972.88461538465,1
"255",3979.90384615386,1
"256",3986.92307692307,1
"257",3993.94230769228,1
"258",4000.96153846158,1
"259",4007.98076923079,1
"260",4015,1
"261",4022.01923076921,1
"262",4029.03846153842,1
"263",4036.05769230772,1
"264",4043.07692307693,1
"265",4050.09615384614,1
"266",4057.11538461535,1
"267",4064.13461538465,3
"268",4071.15384615386,1
"269",4078.17307692307,1
"270",4085.19230769228,3
"271",4092.21153846158,1
"272",4099.23076923079,3
"273",4106.25,5
"274",4113.26923076921,1
"275",4120.28846153842,7
"276",4127.30769230772,5
"277",4134.32692307693,3
"278",4141.34615384614,3
"279",4148.36538461535,5
"280",4155.38461538465,3
"281",4162.40384615386,9
"282",4169.42307692307,7
"283",4176.44230769228,9
"284",4183.46153846158,13
"285",4190.48076923079,9
"286",4197.5,1
"287",4204.51923076921,11
"288",4211.53846153842,9
"289",4218.55769230772,1
"290",4225.57692307693,3
"291",4232.59615384614,1
"292",4239.61538461535,1
"293",4246.63461538465,3
"294",4253.65384615386,5
"295",4260.67307692307,3
"296",4267.69230769228,3
"297",4274.71153846158,1
"298",4281.73076923079,5
"299",4288.75,3
"300",4295.76923076921,1
"301",4302.78846153842,1
"302",4309.80769230772,3
"303",4316.82692307693,1
"304",4323.84615384614,7
"305",4330.86538461535,3
"306",4337.88461538465,1
"307",4344.90384615386,1
"308",4351.92307692307,1
